timestamp, memory.used [MiB]
2025/10/28 05:52:56.974, 38752 MiB
2025/10/28 05:52:56.974, 46470 MiB
2025/10/28 05:52:56.974, 38670 MiB
2025/10/28 05:52:56.974, 38744 MiB
2025/10/28 05:52:56.974, 40748 MiB
2025/10/28 05:53:56.975, 40756 MiB
2025/10/28 05:53:56.975, 44574 MiB
2025/10/28 05:53:56.975, 48048 MiB
2025/10/28 05:53:56.975, 41006 MiB
2025/10/28 05:53:56.975, 46470 MiB
2025/10/28 05:53:56.975, 46952 MiB
2025/10/28 05:53:56.975, 38744 MiB
2025/10/28 05:53:56.976, 43654 MiB
2025/10/28 05:54:56.977, 45024 MiB
2025/10/28 05:54:56.977, 44574 MiB
2025/10/28 05:54:56.977, 48050 MiB
2025/10/28 05:54:56.977, 41006 MiB
2025/10/28 05:54:56.977, 46470 MiB
2025/10/28 05:54:56.977, 46952 MiB
2025/10/28 05:54:56.977, 44928 MiB
2025/10/28 05:54:56.977, 45702 MiB
2025/10/28 05:55:56.978, 45024 MiB
2025/10/28 05:55:56.979, 45924 MiB
2025/10/28 05:55:56.979, 41158 MiB
2025/10/28 05:55:56.979, 41006 MiB
2025/10/28 05:55:56.979, 46470 MiB
2025/10/28 05:55:56.979, 46952 MiB
2025/10/28 05:55:56.979, 44928 MiB
2025/10/28 05:55:56.979, 45708 MiB
2025/10/28 05:56:56.979, 45024 MiB
2025/10/28 05:56:56.979, 46650 MiB
2025/10/28 05:56:56.979, 41158 MiB
2025/10/28 05:56:56.979, 41006 MiB
2025/10/28 05:56:56.979, 46470 MiB
2025/10/28 05:56:56.980, 46952 MiB
2025/10/28 05:56:56.980, 44930 MiB
2025/10/28 05:56:56.980, 45708 MiB
2025/10/28 05:57:56.981, 45024 MiB
2025/10/28 05:57:56.981, 46650 MiB
2025/10/28 05:57:56.981, 41158 MiB
2025/10/28 05:57:56.981, 41006 MiB
2025/10/28 05:57:56.981, 46470 MiB
2025/10/28 05:57:56.981, 46958 MiB
2025/10/28 05:57:56.981, 44930 MiB
2025/10/28 05:57:56.981, 45708 MiB
2025/10/28 05:58:56.982, 45024 MiB
2025/10/28 05:58:56.982, 46650 MiB
2025/10/28 05:58:56.982, 41878 MiB
2025/10/28 05:58:56.982, 41724 MiB
2025/10/28 05:58:56.982, 46470 MiB
2025/10/28 05:58:56.982, 46958 MiB
2025/10/28 05:58:56.982, 45628 MiB
2025/10/28 05:58:56.982, 45708 MiB
2025/10/28 05:59:56.983, 45024 MiB
2025/10/28 05:59:56.983, 46650 MiB
2025/10/28 05:59:56.983, 41878 MiB
2025/10/28 05:59:56.983, 41724 MiB
2025/10/28 05:59:56.983, 46470 MiB
2025/10/28 05:59:56.983, 46958 MiB
2025/10/28 05:59:56.983, 45628 MiB
2025/10/28 05:59:56.983, 45708 MiB
2025/10/28 06:00:56.983, 45024 MiB
2025/10/28 06:00:56.984, 46650 MiB
2025/10/28 06:00:56.984, 41878 MiB
2025/10/28 06:00:56.984, 41724 MiB
2025/10/28 06:00:56.984, 47190 MiB
2025/10/28 06:00:56.984, 46958 MiB
2025/10/28 06:00:56.984, 45628 MiB
2025/10/28 06:00:56.984, 45708 MiB
2025/10/28 06:01:56.984, 45024 MiB
2025/10/28 06:01:56.984, 46650 MiB
2025/10/28 06:01:56.984, 41878 MiB
2025/10/28 06:01:56.984, 41724 MiB
2025/10/28 06:01:56.984, 47190 MiB
2025/10/28 06:01:56.985, 46958 MiB
2025/10/28 06:01:56.985, 45628 MiB
2025/10/28 06:01:56.985, 45708 MiB
2025/10/28 06:02:56.986, 47072 MiB
2025/10/28 06:02:56.986, 46650 MiB
2025/10/28 06:02:56.986, 41878 MiB
2025/10/28 06:02:56.988, 41724 MiB
2025/10/28 06:02:56.988, 47190 MiB
2025/10/28 06:02:56.988, 46958 MiB
2025/10/28 06:02:56.988, 45628 MiB
2025/10/28 06:02:56.988, 45708 MiB
2025/10/28 06:03:56.989, 47072 MiB
2025/10/28 06:03:56.989, 46650 MiB
2025/10/28 06:03:56.989, 41878 MiB
2025/10/28 06:03:56.990, 41724 MiB
2025/10/28 06:03:56.990, 47190 MiB
2025/10/28 06:03:56.990, 46958 MiB
2025/10/28 06:03:56.990, 45628 MiB
2025/10/28 06:03:56.990, 45708 MiB
2025/10/28 06:04:56.990, 47072 MiB
2025/10/28 06:04:56.990, 46650 MiB
2025/10/28 06:04:56.991, 41878 MiB
2025/10/28 06:04:56.991, 41724 MiB
2025/10/28 06:04:56.991, 47190 MiB
2025/10/28 06:04:56.991, 46958 MiB
2025/10/28 06:04:56.991, 45628 MiB
2025/10/28 06:04:56.991, 45708 MiB
2025/10/28 06:05:56.992, 47072 MiB
2025/10/28 06:05:56.992, 46650 MiB
2025/10/28 06:05:56.992, 41878 MiB
2025/10/28 06:05:56.992, 41724 MiB
2025/10/28 06:05:56.992, 47190 MiB
2025/10/28 06:05:56.992, 46958 MiB
2025/10/28 06:05:56.992, 45628 MiB
2025/10/28 06:05:56.992, 45708 MiB
